Nama Usaha,Nama Pemilik,Komoditi,Alamat,Kecamatan,Desa,Sektor Usaha,KTP,Email,Tahun Mulai,No Telp,NPWP,Jumlah Karyawan,Aset,Omzet,Sertifikat,Wilayah
Kelompok Usaha Warungan Barokah,Gugum Santika,Sayuran & Klontongan,Jln.Ciwaruga No.72 Rt 02/02,Parongpong,Sariwangi,3,3202080205090009,warunganbarokah@gmail.com,2014,08598763254,ada,2,20000000,78000000,1, Lintas Kota
Eni Kurneni,Eni Kurneni,"Gas,Aqua ,Warung Nasi",Jl.Waruga jaya,Parongpong,Ciwaruga,3,3202080205090010,kurneni@gmail.com,2013,081809611783,ada,2,20000000,78000000,1, Lintas Kota
Siti Hajah,Siti Hajah,Warungan Pertanian,Kp.Sukamaju RT 01/RW 05,Parongpong,Cigugurgirang,3,3202080205090011,hajah@gmail.com,2014,081394609712,ada,5,45000000,254800000,1, Lintas Kota
Lia,Lia,Sembako,Kp Ciwaruga RT 03/06 ,Parongpong,Cihanjuang,3,3202080205090012,lia@gmail.com,2014,08452562523,ada,4,35000000,546000000,1, Lintas Kota
Tati R,Tati R,Kelontong,Kp Ciwaruga RT 03/06,Parongpong,Sariwangi,3,3202080205090013,r@gmail.com,2015,08154635330,ada,3,20000000,208000000,1, Lintas Kota
Encih,Encih,Sembako,Kp Ciwaruga RT 03/06,Parongpong,Sariwangi,3,3202080205090014,encih@gmail.com,2014,087822280639,ada,2,20000000,254000000,1, Lintas Kota
Ika Novianti,Ika Novianti,Sembako,Kp Ciwaruga RT 03/06 ,Parongpong,Cigugur Girang,3,3202080205090015,novianti@gmail.com,2013,0812119015167,ada,2,15000000,78000000,1, Lintas Kota
Cacah,Cacah,kelontong,Kp Ciwaruga RT 01/06 ,Parongpong,Sariwangi,3,3202080205090016,cacah@gmail.com,2014,022-6903679,ada,2,20000000,78000000,1, Lintas Kota
Awang,Awang,Sembako,Kp Ciwaruga,Parongpong,Ciwaruga,3,3202080205090017,awang@gmail.com,2014,085220114407,tidak,2,25000000,390000000,1, Lintas Kota
Suryana,Suryana,Sembako,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090018,suryana@gmail.com,2015,081395342862,ada,5,20000000,227000000,1, Lintas Kota
Wawang Warnasih,Wawang Warnasih,Pakan Burung,Kp Ciwaruga,Parongpong,Sukamaju,3,3202080205090019,warnasih@gmail.com,2014,081384609984,tidak,4,15000000,254000000,1, Lintas Kota
Hani Lestari,Hani Lestari,Buah2an,Kp Ciwaruga,Parongpong,Ciwaruga,3,3202080205090020,lestari@gmail.com,2013,0812347865,ada,1,35000000,109000000,1, Lintas Kota
Sahro,Sahro,Sembako+Jajanan,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090021,sahro@gmail.com,2014,0814567824133,ada,2,20000000,109000000,1, Lintas Kota
Yoga Taufik,Yoga Taufik,Sembako,Kp Ciwaruga,Parongpong,Ciwaruga,3,3202080205090022,taufik@gmail.com,2014,0226348249,ada,4,30000000,182000000,1, Lintas Kota
Cecep Budiarsa,Cecep Budiarsa,Sembako,Kp Ciwaruga,Parongpong,Cigugur Girang,3,3202080205090023,budiarsa@gmail.com,2015,0226348449,ada,2,15000000,91000000,1, Lintas Kota
Cacah,Cacah,Jajanan,Kp Ciwaruga ,Parongpong,Ciwaruga,3,3202080205090024,cacah@gmail.com,2014,0446348449,ada,2,30000000,182000000,1, Lintas Kota
Ibu Ani,Ibu Ani,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090025,ani@gmail.com,2013,085221045570,tidak,3,35000000,364000000,1, Lintas Kota
Empon,Empon,Warung,Kp Cigugur,Parongpong,Ciwaruga,3,3202080205090026,empon@gmail.com,2014,0226348649,tidak,2,45000000,254800000,1, Lintas Kota
Ibu Amah,Ibu Amah,Warung,Kp Cigugur,Parongpong,Ciwaruga,3,3202080205090027,amah@gmail.com,2013,0226348749,ada,4,20000000,78000000,1, Lintas Kota
Dudi,Dudi,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090028,dudi@gmail.com,2014,0226348849,ada,3,20000000,78000000,1, Lintas Kota
Lilis W,Lilis W,Warung,Kp Cigugur ,Parongpong,Cigugur Girang,3,3202080205090029,w@gmail.com,2014,0226658050,tidak,1,20000000,273000000,1, Lintas Kota
Ece Doyok,Ece Doyok,Dagang Keliling,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090030,doyok@gmail.com,2015,02263481049,ada,2,15000000,182000000,1, Lintas Kota
Iyus,Iyus,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090031,iyus@gmail.com,2014,081221576488,ada,2,8000000,254800000,1, Lintas Kota
Dadan,Dadan,Dagang Keliling,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090032,dadan@gmail.com,2013,081221818033,ada,1,15000000,78000000,1, Lintas Kota
Aceng,Aceng,Dagang Keliling,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090033,aceng@gmail.com,2013,081320650757,ada,1,20000000,78000000,1, Lintas Kota
Kreatif,Kokom,Dagang,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090034,kreatif@gmail.com,2017,081395434327,ada,5,20000000,273000000,1, Lintas Kota
LA Mente Food Indonesia,Retno Wulandari,Warung,Kp Cigugur,Parongpong,Cigugur Girang,3,3202080205090035,foodindonesia@gmail.com,2016,08156203553,tidak,4,20000000,182000000,1, Lintas Kota
Kastury78,Ratu F,Makanan,Komp.Bumi Hanjuang No.F5,Parongpong,Cigugur Girang,3,3202080205090036,kastury78@gmail.com,2017, 08156203553,ada,1,45000000,36400000,1, Lintas Kota
Cacah,Cacah,Makanan Ringan,Komp. The Green Sariwangi Tahap 2 No.3 RT 02 RW 11,Parongpong,Cigugur Girang,3,3202080205090037,cacah@gmail.com,2017,08179210169,tidak,2,35000000,163000000,1, Lintas Kota
Ibu Ani,Ibu Ani,Klontong,Bumi Sariwangi I l 29,Parongpong,Cigugur Girang,3,3202080205090038,ani@gmail.com,2016,0181863481849,ada,1,20000000,197600000,1, Lintas Kota
Ai Hodijah,Ai Hodijah,Warungan,Kp. Sukamaju RT 01/05,Parongpong,Cihanjuang,3,3202080205090039,hodijah@gmail.com,2015,081321195430,tidak,1,20000000,78000000,1, Lintas Kota
Neng Yanti,Neng Yanti,Warungan,Kp. Sariwangi Rt/Rw 04/09,Parongpong,Sariwangi,3,3202080205090040,yanti@gmail.com,2015,082115553989,ada,1,15000000,78000000,1, Lintas Kota
Ibu Eti,Ibu Eti,Warungan,Jln.Ciwaruga No.72 Rt 02/02,Parongpong,Sariwangi,3,3202080205090041,eti@gmail.com,2017,087821720238,tidak,1,20000000,254800000,1, Lintas Kota
Yuyun Siti Royani,Yuyun Siti Royani,Warungan,Jl.Waruga jaya,Parongpong,Cigugur Girang,3,3202080205090042,yuyun siti royani@gmail.com,2015,0222263482249,ada,1,25000000,546000000,1, Lintas Kota
Elis Mardiana,Elis Mardiana,Perdagangan Sembako,Kp.Sukamaju RT 01/RW 05,Parongpong,Cigugur Girang,3,3202080205090043,mardiana@gmail.com,2018,081324069292,tidak,3,20000000,208000000,1, Lintas Kota
